1	0
2	0
3	0
4	0
5	0
6	0
21	0
22	0
23	0
24	0
25	0
26	0
28	0
29	0
31	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
51	1
54	1
92	0
113	0
114	0
127	0
142	0
143	0
144	0
200 0
201 0
202 0
300 0
301 0
302 0
303 0
401 0
402 0
403 0
501 0
502 0
503 0
601 0
602 0
603 0
604 0
605 0
606 0
607 0
701 0
702 1
703 1
704 1
705 1
801 0
802 0
803 0
804 0
805 0
806 0
807 0
808 0
809 0
810 0
811 0
812 0
813 0
814 0
815 0
816 0
817 0
901 0
902 0
903 0
